"疯狂的程序员","绝影","360","8.0","http://book.douban.com/subject/3267945/"
"认知与设计","Jeff Johnson","156","8.6","http://book.douban.com/subject/6792322/"
"Borland传奇","李维","296","8.1","http://book.douban.com/subject/1027528/"
"MBA教不了的创富课","老雕","212","8.6","http://book.douban.com/subject/5921213/"
"人月神话","[美] 弗雷德里克·布鲁克斯","369","8.5","http://book.douban.com/subject/1102259/"
"走出软件作坊","阿朱","403","8.2","http://book.douban.com/subject/3319935/"
"史蒂夫·乔布斯传","[美] 沃尔特·艾萨克森","560","8.7","http://book.douban.com/subject/6798611/"
"七周七语言","Bruce A.Tate","246","8.1","http://book.douban.com/subject/10555435/"
"程序员的职业素养","Robert C.Martin","178","8.8","http://book.douban.com/subject/11614538/"
"善用佳软","张玉新","206","6.9","http://book.douban.com/subject/24152664/"
"结网@改变世界的互联网产品经理","王坚","244","8.2","http://book.douban.com/subject/5376384/"
"HTML5高级程序设计","Peter Lubbers","221","7.6","http://book.douban.com/subject/5402708/"
"设计元素","[美] 蒂莫西·萨马拉 (Timothy Samara)","272","8.6","http://book.douban.com/subject/3335742/"
"Microsoft .NET企业级应用架构设计","（美）埃斯波西托　等编著","412","8.6","http://book.douban.com/subject/4870838/"
"门后的秘密","[美] Johanna Rothmann,","180","8.3","http://book.douban.com/subject/5401859/"
"大话无线通信","丁奇","348","8.5","http://book.douban.com/subject/4199502/"
"一寸河山一寸血.3","关河五十州","320","8.6","http://book.douban.com/subject/6798785/"
"说服力 让你的PPT会说话","张志、刘俊、包翔","198","7.6","http://book.douban.com/subject/4604592/"
"怎样解题","[美] G. 波利亚","213","8.8","http://book.douban.com/subject/2124114/"
"SQL 必知必会（第3版）","(英)Ben Forta","204","8.2","http://book.douban.com/subject/2124377/"
"餐巾纸上的创业课","神田昌典","195","8.4","http://book.douban.com/subject/4168140/"
"网络营销实战密码","昝辉Zac","488","8.0","http://book.douban.com/subject/3396111/"
"Visual Studio程序员箴言","福特","205","7.0","http://book.douban.com/subject/4224471/"
"冷浪漫","科学松鼠会","248","7.7","http://book.douban.com/subject/5975576/"
"一寸河山一寸血.2","关河五十州","320","8.6","http://book.douban.com/subject/6798784/"
"软件开发者路线图","Dave H. Hoover","185","8.3","http://book.douban.com/subject/4924164/"
"网页设计创意书","Patrick McNeil","250","8.1","http://book.douban.com/subject/5290563/"
"众妙之门","Smashing Magazine","291","8.1","http://book.douban.com/subject/5351808/"
"人人都是产品经理","苏杰","9787121105777","7.8","http://book.douban.com/subject/4723970/"
"项目百态","[美] Tom Demarco","224","8.1","http://book.douban.com/subject/5954810/"
"大话物联网","郎为民","286","6.3","http://book.douban.com/subject/5908741/"
"一寸河山一寸血.1","关河五十州","320","8.5","http://book.douban.com/subject/6797768/"
"设计模式沉思录","John M.Vlissides","152","8.2","http://book.douban.com/subject/4816447/"
"Web编程入门经典","达科特 (Jon Duckett)","636","7.9","http://book.douban.com/subject/4287404/"
"口碑","[美] David Meerman Scott","200","6.9","http://book.douban.com/subject/5290565/"
"镜·织梦者","沧月","201","7.7","http://book.douban.com/subject/2567960/"
"设计达人/威客传奇之网络掘金","陈晓华","285","","http://book.douban.com/subject/6960232/"
"番茄工作法图解","[瑞典] Staffan Nteberg","148","7.8","http://book.douban.com/subject/5916234/"
"镜·神寂","沧月","293","8.7","http://book.douban.com/subject/2271450/"
"Head First 软件开发（中文版）","(美)皮隆尼//迈尔斯|译者","452","7.9","http://book.douban.com/subject/4604857/"
"失控","[美] 凯文·凯利","707","8.9","http://book.douban.com/subject/5375620/"
"地底三万尺","朱少麟","265","8.6","http://book.douban.com/subject/1444177/"
"你就是极客","Michael Lopp","239","6.7","http://book.douban.com/subject/7055331/"
"鹿鼎记","金庸","1629","9.1","http://book.douban.com/subject/4053593/"
"软件架构师的12项修炼","Dave Hendricksen","216","7.1","http://book.douban.com/subject/10746257/"
"企业应用架构模式","Martin Fowler","363","8.8","http://book.douban.com/subject/4826290/"
"重来","[美] 贾森·弗里德","236","8.4","http://book.douban.com/subject/5320866/"
"四步创业法","[美] Steven Gary Blank","312","8.8","http://book.douban.com/subject/11516567/"
"构建高性能可扩展ASP.NET网站","Richard Kiessig","384","8.1","http://book.douban.com/subject/5989872/"
"创业者","[美] 杰西卡·利文斯顿","325","7.1","http://book.douban.com/subject/3506599/"
"数据库重构","安布勒","217","7.3","http://book.douban.com/subject/1954438/"
"你必须知道的.NET","王涛","520","8.3","http://book.douban.com/subject/6753837/"
"写给大家看的Web设计书","Robin Williams","288","7.2","http://book.douban.com/subject/4820694/"
"精彩绝伦的CSS","[美] Eric A. Meyer","226","8.0","http://book.douban.com/subject/10793898/"
"英雄志【二十一】兵臨城下","孫曉","452","9.0","http://book.douban.com/subject/4056539/"
"英雄志【二十】保衛京城","孫曉","","9.0","http://book.douban.com/subject/3550721/"
"英雄志【十九】王者之上","孫曉","","9.0","http://book.douban.com/subject/1364416/"
"编程珠玑","Jon Bentley","228","9.2","http://book.douban.com/subject/3227098/"
"英雄志【十八】吾國吾民","孫曉","","9.0","http://book.douban.com/subject/1362683/"
"设计模式之禅","秦小波","545","7.8","http://book.douban.com/subject/4260618/"
"老子他说","南怀瑾","451","8.7","http://book.douban.com/subject/1489670/"
"PERL实例精解","奎格利","707","7.7","http://book.douban.com/subject/3335419/"
"软件调试","张银奎","1006","8.7","http://book.douban.com/subject/3088353/"
"0day安全：软件漏洞分析技术","王清","0","8.1","http://book.douban.com/subject/3035185/"
"精通正则表达式","Jeffrey E. F. Friedl","515","8.9","http://book.douban.com/subject/2154713/"
"C++编程规范","（美）Herb Sutter, Andrei Alexandrescu","216","8.2","http://book.douban.com/subject/1480481/"
"英雄志【十七】天之正道","孫曉","","9.2","http://book.douban.com/subject/1375428/"
