"《Go it alone》单干！靠自己开创成功事业的秘诀","Bruce Judson","9789867204110","8.1","http://book.douban.com/subject/2346021/"
"这才是最牛团队","高级幕僚","236","7.6","http://book.douban.com/subject/4244274/"
"随意搜寻","Peter Morville","246","8.4","http://book.douban.com/subject/25746680/"
"三国机密（下）","马伯庸","378","8.0","http://book.douban.com/subject/11534920/"
"三国机密（上）","马伯庸","289","8.3","http://book.douban.com/subject/10464337/"
"具体数学","Ronald L.Graham","562","9.4","http://book.douban.com/subject/21323941/"
"深入理解计算机系统","Randal E.Bryant","873","9.5","http://book.douban.com/subject/1230413/"
"深入剖析Nginx","高群凯","334","7.2","http://book.douban.com/subject/23759678/"
"MySQL性能调优与架构设计","简朝阳","392","8.1","http://book.douban.com/subject/3729677/"
"MongoDB实战","[美] Kyle Banker","244","8.2","http://book.douban.com/subject/19977785/"
"深入PHP：面向对象、模式与实践（第2版）","Matt Zandstra","59","8.4","http://book.douban.com/subject/4746407/"
"细说PHP","高洛峰","649","7.9","http://book.douban.com/subject/4090200/"
"圈子圈套","王强","271","8.0","http://book.douban.com/subject/1433050/"
"玩法变了","胖胡斐","226","8.1","http://book.douban.com/subject/6999354/"
"大数据时代","[英] 维克托迈尔舍恩伯格（Viktor Mayer-Schnberger）","261","7.6","http://book.douban.com/subject/20429677/"
"深入理解Nginx","陶辉","584","8.3","http://book.douban.com/subject/22793675/"
"怪诞行为学","[美]艾瑞里","248","8.3","http://book.douban.com/subject/4929844/"
"我的妖怪培养计划","胡晓江","240","9.1","http://book.douban.com/subject/1118982/"
"淘宝十年产品事","苏杰","252","7.8","http://book.douban.com/subject/25732463/"
"可爱的Python","哲思社区","484","7.4","http://book.douban.com/subject/3884108/"
"雷军传","陈润","248","6.3","http://book.douban.com/subject/25715736/"
"拒绝平庸","李正曦","296","7.4","http://book.douban.com/subject/24890463/"
"CLR via C#","(美)Jeffrey Richter","777","9.6","http://book.douban.com/subject/4924165/"
"创业者手册","[美] 史蒂夫·布兰克","463","8.4","http://book.douban.com/subject/20453004/"
"创业36条军规","孙陶然","324","8.1","http://book.douban.com/subject/7054652/"
"思考的乐趣","顾森","266","8.3","http://book.douban.com/subject/10779597/"
"30天自制操作系统","[日] 川合秀实","710","8.5","http://book.douban.com/subject/11530329/"
"游戏改变世界","[美] 简麦戈尼格尔（Jane McGonigal）","345","8.3","http://book.douban.com/subject/10828002/"
"心理学与生活","[美] 理查德·格里格","621","8.7","http://book.douban.com/subject/1032501/"
"Head First PHP &amp; MySQL（中文版）","Lynn Beighley","774","8.7","http://book.douban.com/subject/6011680/"
"28岁赚千万","穷富弹指间","272","7.5","http://book.douban.com/subject/24845286/"
"小老板的生意经","老莫","205","7.7","http://book.douban.com/subject/4243081/"
"商业就是一场秀","[美]李勒菲弗","330","8.0","http://book.douban.com/subject/24863461/"
"Ruby元编程","[意] Paolo Perrotta","288","9.5","http://book.douban.com/subject/7056800/"
"我与商业领袖的合作与冲突","李玉琢","303","8.0","http://book.douban.com/subject/1786651/"
"简约至上","[英] Giles Colborne","188","8.5","http://book.douban.com/subject/5394309/"
"谁动了我的奶酪?","斯宾塞·约翰逊","105","7.8","http://book.douban.com/subject/4722180/"
"软件开发的科学与艺术","陈宏刚等","353","7.2","http://book.douban.com/subject/1001389/"
"微软的秘密","Michael  A. Cusuma/Richard  W. Selbyno","356","7.8","http://book.douban.com/subject/4220159/"
"华为真相","程东升","317","6.8","http://book.douban.com/subject/1063902/"
"人工智能的未来","Jeff Hawkins","258","8.9","http://book.douban.com/subject/1834728/"
"代码的未来","[日] 松本行弘","356","7.7","http://book.douban.com/subject/24536403/"
"软件测试的艺术","Glenford J. Myers","189","8.2","http://book.douban.com/subject/10549782/"
"明智行动的艺术","[德]罗尔夫多贝里（Rolf Dobelli）","209","7.9","http://book.douban.com/subject/24878420/"
"演说心理学","孙彦","222","8.0","http://book.douban.com/subject/19985901/"
"挑战程序设计竞赛（第2版）","秋叶拓哉","424","9.0","http://book.douban.com/subject/24749842/"
"JavaScript高级程序设计:第2版","Nicholas Zakas","600","9.3","http://book.douban.com/subject/4886879/"
"精通Web Analytics","(美国)(Avinash Kaushik)卡希克","349","7.5","http://book.douban.com/subject/3260737/"
"引爆流行","[美] 马尔科姆·格拉德威尔","223","8.0","http://book.douban.com/subject/1014964/"
"软件管理沉思录","[美] Watts S. Humphrey","217","7.6","http://book.douban.com/subject/10769761/"
"完成设计","[美] 蒂莫西·萨马拉 (Timothy Samara)","272","8.6","http://book.douban.com/subject/3336895/"
"大话设计模式","程杰","368","8.3","http://book.douban.com/subject/2334288/"
"思想的未来","（美）劳伦斯﹒莱斯格","277","8.2","http://book.douban.com/subject/1186899/"
"只有偏执狂才能生存","[美] 安迪·格鲁夫","227","7.7","http://book.douban.com/subject/1002474/"
"Head First Python（中文版）","巴里（Barry.P.）","457","8.3","http://book.douban.com/subject/10561367/"
"所有人问所有人","韩寒 监制","288","7.1","http://book.douban.com/subject/24754123/"
"人为什么会淹死在沙漠里？","【日】高木徹也著","208","7.7","http://book.douban.com/subject/24890744/"
"不懂拒绝的老好人","哈丽雅特 B.布莱克","260","7.7","http://book.douban.com/subject/6711978/"
"版本控制之道","Travis Swicegood","204","7.7","http://book.douban.com/subject/4813786/"
"Git权威指南","蒋鑫","595","8.1","http://book.douban.com/subject/6526452/"
"编译器设计","Keith Cooper","592","8.7","http://book.douban.com/subject/20436488/"
"计算机体系结构","[美] John L. Hennessy","595","9.4","http://book.douban.com/subject/20452387/"
"SQL语言艺术","[美] StéphaneFaroult，P","349","8.3","http://book.douban.com/subject/3012601/"
"大象","谭云杰","481","8.0","http://book.douban.com/subject/3290022/"
".NET大局观","David Chappell","400","7.3","http://book.douban.com/subject/1933068/"
"UNIX编程艺术","Eric S. Raymond","525","9.1","http://book.douban.com/subject/1467587/"
"算法导论","[美] Thomas H.Cormen","754","9.4","http://book.douban.com/subject/1885170/"
"移山之道","邹欣","372","7.5","http://book.douban.com/subject/3208694/"
"组织生存力","彼得·德鲁克","174","8.9","http://book.douban.com/subject/4124436/"
"优势谈判","罗杰·道森","274","8.7","http://book.douban.com/subject/3002878/"
"看谁在说谎","大卫·李柏曼","188","6.8","http://book.douban.com/subject/2367690/"
"亿万富翁想的和你不一样","（美）斯科特安德森 （Scot Anderson）","188","7.9","http://book.douban.com/subject/3932515/"
"富爸爸，穷爸爸","（美）罗伯特T清崎","205","8.2","http://book.douban.com/subject/1033778/"
"下一个倒下的会不会是华为","田涛","280","7.1","http://book.douban.com/subject/20283567/"
"驻京办招牌菜在家做","《驻京办招牌菜在家做》编写组","192","8.1","http://book.douban.com/subject/24714214/"
"编程语言实现模式","Terence Parr","388","8.3","http://book.douban.com/subject/10482195/"
"我最想要的记忆魔法书","多米尼克·奥布莱恩","248","8.0","http://book.douban.com/subject/6710983/"
"世界记忆大师教我的超强记忆法","郭玉峰","177","7.9","http://book.douban.com/subject/3001003/"
"机器学习","（美）Drew Conway","320","7.7","http://book.douban.com/subject/24251326/"
"机器学习实战","Peter Harrington","332","7.9","http://book.douban.com/subject/24703171/"
"图解TCP/IP : 第5版","[日]竹下隆史","328","7.6","http://book.douban.com/subject/24737674/"
"程序员的数学","结城浩","232","7.0","http://book.douban.com/subject/19949020/"
"数据掘金","谭磊","444","7.5","http://book.douban.com/subject/24718711/"
"从一到无穷大","[美] G. 伽莫夫","329","9.1","http://book.douban.com/subject/1102715/"
"发现之旅","托尼赖斯","348","9.0","http://book.douban.com/subject/10439064/"
"众妙之门","Smashing Magazine","422","8.6","http://book.douban.com/subject/23008807/"
"众妙之门","[德] Smashing Magazine","194","6.6","http://book.douban.com/subject/22704159/"
"我笨，所以我是老板","史考特亚当斯","172","7.9","http://book.douban.com/subject/1215683/"
"部落：一呼百应的力量","高汀 (Godin.S.)","237","7.2","http://book.douban.com/subject/3795574/"
"大规模Web服务开发技术","伊藤直也","336","8.1","http://book.douban.com/subject/6758780/"
"Joel谈优秀软件开发方法","Joel Spolsky","296","7.6","http://book.douban.com/subject/2193777/"
"精益软件开发艺术","Curt Hibbs","148","8.0","http://book.douban.com/subject/3781725/"
"程序设计实践","[美] Brian W. Kernighan","221","9.1","http://book.douban.com/subject/1173548/"
"轻松Scrum之旅","","","8.1","http://book.douban.com/subject/4201536/"
"JavaScript DOM编程艺术","Jeremy Keith","316","8.7","http://book.douban.com/subject/1921890/"
"超越LOGO设计","David Airey","191","8.2","http://book.douban.com/subject/5341100/"
"带上“我”找创意","【美】凯瑞.史密斯","201","7.4","http://book.douban.com/subject/4189127/"
"锋利的jQuery","单东林","347","8.1","http://book.douban.com/subject/3794471/"
"秩序之美","Vinh","172","8.1","http://book.douban.com/subject/6393626/"
"乔布斯产品圣经","[美]史蒂夫乔布斯 原话 [美]乔治比姆 整理","214","6.5","http://book.douban.com/subject/10558596/"
"信息之美","","","7.5","http://book.douban.com/subject/10749405/"
"时间，快与慢","[挪威]托马斯·H·埃里克森(Thomas H. Eriksen)","192","7.5","http://book.douban.com/subject/24706568/"
"算法（第4版）","塞奇威克 (Robert Sedgewick)","636","9.4","http://book.douban.com/subject/19952400/"
"CSS3实用指南","吉伦瓦特","252","8.2","http://book.douban.com/subject/10482084/"
"Web可用性设计","JakobNielsen","0","7.7","http://book.douban.com/subject/1087502/"
"快速软件开发","[美] 斯蒂夫·迈克康奈尔","470","8.5","http://book.douban.com/subject/1007738/"
"白帽子讲Web安全","吴翰清","432","8.3","http://book.douban.com/subject/10546925/"
"推理的迷宫","[美] 威廉姆·庞德斯通","331","8.7","http://book.douban.com/subject/1400030/"
